,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,host_is_superhost,property_type,bedrooms,beds,guests_included,review_scores_rating,instant_bookable,bathrooms,security_deposit,cleaning_fee,len_amenities
1504,15234993,Pine Grove Common Room easily accessible,51833262,Jessica,Central Region,Bukit Timah,1.31874,103.77499,Private room,45,2,1,0.03,1,0,f,Condominium,1.0,1.0,1,40.0,f,1.0,0.0,20.0,11
1505,15274648,Shophouse Chic with Terrace,1584407,Richard,Central Region,Marine Parade,1.30588,103.90371999999999,Entire home/apt,196,2,11,0.28,5,242,t,Apartment,1.0,2.0,2,95.0,f,1.5,500.0,25.0,29
1506,15295359,CBD area Lux 1BR condo,35746057,Hedy,Central Region,Downtown Core,1.27498,103.84549,Entire home/apt,229,26,0,0.0,3,89,f,Apartment,1.0,1.0,2,0.0,f,1.0,159.0,120.0,15
1507,15314758,Lovely 3BR apartment in Hougang,70413136,Yolanda,North-East Region,Hougang,1.36914,103.89993,Entire home/apt,180,3,13,0.3,1,0,f,Condominium,3.0,3.0,5,88.0,f,3.0,200.0,50.0,30
1508,15316856,Ensuite room near Airport/Expo/Biz Pk-LADIES only,1386714,Cindy,East Region,Pasir Ris,1.36493,103.97158,Private room,68,1,49,1.09,1,0,f,House,1.0,1.0,1,99.0,f,1.5,200.0,30.0,22
1509,15346634,Clean Cosy Convenient (Airport/Expo/SUTD/Biz Park),91428330,Kathleen,East Region,Tampines,1.3532899999999999,103.95374,Private room,42,1,102,2.3,1,90,f,Apartment,1.0,1.0,1,92.0,f,1.0,222.0,25.0,26
1510,15347449,Town - Room 2E,15503071,Dan,Central Region,Kallang,1.31388,103.8551,Private room,55,90,6,0.13,10,364,t,Loft,1.0,1.0,1,87.0,f,3.0,0.0,25.0,18
1511,15348725,prewar doublebed *Window Room > lavender MRT,97878860,Chelsey,Central Region,Kallang,1.30931,103.86334000000001,Private room,50,18,1,0.06,81,356,f,Apartment,1.0,0.0,1,100.0,t,3.0,0.0,15.0,33
1512,15351390,Private Room near Paya Lebar&Dakota,78386666,Jayce,Central Region,Geylang,1.3115,103.89015,Private room,63,2,0,0.0,6,0,f,Apartment,1.0,2.0,2,0.0,t,1.0,139.0,42.0,11
1513,15362541,City Apartment Rm w/ Queen Bed @ Orchard_5,97206233,Julie,Central Region,Orchard,1.30385,103.83476999999999,Private room,77,1,44,1.01,11,0,f,Apartment,1.0,1.0,1,80.0,f,0.0,0.0,0.0,8
1514,15364548,New Spacious Studio Apt @ Somerset /Orchard Area,61619807,Ong,Central Region,River Valley,1.29577,103.83939000000001,Entire home/apt,139,6,52,1.16,38,343,f,Apartment,0.0,3.0,2,88.0,t,1.0,150.0,0.0,34
1515,15364942,Expat's choice ! En-suites room 3,24496358,Katherine,East Region,Bedok,1.31673,103.91426,Private room,68,88,2,0.06,30,273,f,House,1.0,1.0,1,100.0,f,1.0,200.0,30.0,23
1516,15365213,Expat's choice! En-suites room with shared pool,24496358,Katherine,East Region,Bedok,1.32415,103.91476999999999,Private room,130,28,0,0.0,30,325,f,House,1.0,1.0,1,0.0,f,1.0,200.0,30.0,22
1517,15367409,"postwar singlebed rm*Ba, 3min to aljunied mrt",97878860,Chelsey,Central Region,Geylang,1.31552,103.88215,Private room,35,18,3,0.07,81,357,f,Apartment,1.0,0.0,1,93.0,f,3.0,0.0,15.0,32
